net,length_um
clknet_0_CLK,755.28
_3555_,746.85
_3456_,702.84
_3808_,699.76
_3591_,698.81
_3093_,697.15
_3007_,685.37
_4025_,681.34
_1078_,680.77
_4133_,680.75
_3736_,678.93
_3916_,678.43
_3023_,670.4
_3700_,660.46
_3880_,646.53
_3664_,643.32
_3952_,643.29
_3628_,642.15
_1171_,616.37
_1739_,613.69
_3989_,613.22
_1697_,605.83
_1717_,569.02
_4097_,567.4
_3413_,561.48
_4061_,560.15
_4169_,554.11
_1705_,544.02
_1071_,544.005
_1201_,543.66
_3340_,543.17
_1686_,541.16
_1203_,540.43
_3157_,539.23
_1726_,536.13
_3772_,535.39
_3231_,528.43
_1680_,522.5
_3376_,521.4
_3517_,517.78
_1716_,516.12
_1723_,515.78
_3195_,513.92
_1713_,511.05
_1189_,508.28
_4205_,506.31
_1190_,504.39
_1708_,504.02
_1734_,501.26
_1025_,498.97
_1720_,495.75
_3267_,493.945
_3844_,488.63
_1696_,487.99
_1735_,484.61
_4255_,481.44
_1712_,480.39
_1745_,479.48
_1038_,479.045
_1205_,475.83
_1700_,473.55
_1178_,471.94
_3304_,469.75
_1036_,465.48
_1213_,465.17
_1037_,461.25
clknet_3_2__leaf_CLK,459.97
net4,457.71
_1782_,454.645
_1823_,441.32
_1187_,440.1
_3613_,438.39
_1685_,437.73
_1198_,428.045
_1211_,427.69
_1722_,426.92
_1703_,426.64
_1889_,423.74
_4047_,423.67
_3722_,421.63
clknet_3_4__leaf_CLK,420.26
_3650_,419.85
_1263_,413.515
_1287_,412.12
_1693_,412.06
_3577_,411.06
_1089_,410.93
_3435_,410.68
_1773_,409.84
_3686_,408.525
_1044_,407.73
_1028_,405.88
_1699_,405.41
_1050_,405.29
_1291_,402.73
_3830_,402.69
_1262_,399.54
net8,399.255
_3065_,398.05
_3498_,397.635
_1719_,395.92
_4244_,395.44
_1729_,393.67
_1215_,393.34
clknet_3_7__leaf_CLK,392.96
_1828_,391.395
_1090_,390.51
_1684_,389.34
_3902_,387.96
_1057_,386.96
_1042_,385.42
_1047_,384.93
_1689_,384.54
_3044_,383.95
_1194_,381.32
_3758_,380.59
_1088_,380
_2044_,379.65
_1053_,379.37
_1035_,377.96
_1182_,376.35
_1184_,375.54
_1822_,374.38
_1711_,374.35
_3974_,373.04
_1707_,372.725
_1259_,372.28
_1052_,372.11
clknet_3_1__leaf_CLK,371.44
_1325_,370.5
_4191_,370.045
_1199_,369.45
_1040_,368.72
_1324_,368.57
_1107_,367.68
_3253_,365.38
_1706_,364.775
_3289_,364.49
_3794_,363.73
_4155_,362.84
_3938_,361.88
_4011_,360.81
CLK,360.22
_1027_,359.51
_1704_,359.38
_3477_,359.27
_1026_,358.74
clknet_3_6__leaf_CLK,358.2
_3217_,355.77
_1673_,355.24
_3891_,354.49
_1174_,354.02
_3927_,353.865
_1192_,353.53
_3114_,351.795
_3362_,351.46
_1175_,349.09
_3179_,348
_4227_,346
_1895_,345.66
_1029_,345.12
_1690_,343.99
_3006_,343.92
_3398_,343.17
_1195_,341.22
_4119_,339.93
clknet_3_3__leaf_CLK,339.85
_1191_,339.11
_4144_,338.99
_1073_,338.06
_1279_,336.93
_1072_,336.08
_1897_,335.14
_3135_,334.985
_4083_,334.86
_3963_,334.23
_3866_,333.03
_4000_,332.53
_1172_,332.21
_1671_,325.83
_1679_,322.04
_1767_,320.25
_1768_,320.12
_1675_,319.71
_3539_,316.37
_1676_,315.79
_1173_,312.31
_1692_,311.56
_4036_,308.4
_1733_,307.18
_3711_,306.08
_3639_,305.76
_2114_,302.98
_1061_,302.32
_3675_,302.23
_1149_,301.78
clknet_3_0__leaf_CLK,301.78
_1918_,301.32
_2053_,301.13
_3326_,300.67
_2051_,299.64
_2113_,299.3
_1220_,298.12
_2039_,297.6
_1214_,296.705
_1777_,296.41
_1222_,295.2
_1207_,292.46
_1670_,292.35
_1104_,291.15
_1901_,290.96
_1919_,290.69
_4072_,290.33
_1048_,285.75
_1881_,282.32
net3,279.72
